2,20.7.23,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,📊,Optima,change optima,Comments
,,Dumbel press,4,"20,25,25,30","20,15,15,15","3,2,3,2",1600,38,,,,
,,rope pushdown,4,"25,30,30,35","30,15,15,15","3,2,2,1",2175,48,3.57,750,,
,,barbel curls,4,"15,20,25,25","20,13,10,12","2,2,1,1",1110,30,15.63,300,0,
,Total,,16,480,242,35,6865,176,11.81,,,
20,22.8.23,W6T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"20,40,60,80",,,,,-100,#VALUE!,#VALUE!,
,,leg extension,4,"5,5,5,5",,,,,-100,#VALUE!,#VALUE!,
,,leg curls,,"5,5,5",,,,,,,,
,,calves ,4,"40,40,45,45",,,,,-100,#VALUE!,#VALUE!,
,,abs,,,,,,,-100,#VALUE!,#VALUE!,
,Total,,12,#VALUE!,#VALUE!,#VALUE!,0,0,-100,,,
21,23.8.23,W6T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inline bench,4,"30,40,50,55","15,12,10,10",,1980,60,0,550,0,
,,overhead press,4,"20,25,25,25","15,12,12,12",,1200,34,,,,
,,rope pushdown,4,"25,30,30,30","30,15,15,15",,2100,46,-3.45,750,,
,,barbel curls,4,"15,20,25,25","20,13,10,10",,1060,30,-4.5,300,0,
,Total,,16,470,226,#VALUE!,6340,170,-7.65,,,
22,22.8.23,W6T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,100","20,12,12,12",,4160,114,,,,
,,leg extension,4,"5,7.5,10,12.5","20,15,15,15",,1100,13,,,,
,,leg curls,4,"5,5,5,5","15,15,15,15",,600,7,,,,
,,calves ,4,"40,40,40,40","25,25,25,25",,4000,73,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,539,341,,9920,208,,,,
23,26.8.23,W6T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,"Генерално съм доволен от прогреса и от постоянството! Отличен 6! Искам да видя малко повече как релеф, мисля че под мазното има нещо много красиво и интересно. Пресата не съм я виждал от 2010, малко само 2018 но по скоро от слабост от колкото от добра форма. Затова реших да вкарам кетото отново с фастинг и да видим как ще ми се отрази след месец. Днес 26.8.23 съм 81.3кг малко дехидратиран и в най-ниското тегло, по принцип съм около 82.8кг. но не съм пил алкохол от 4 дни и можеби това е разликата."
,chest,inc. b. dumbels,4,"12.5,15,17.5,20","20,15,13,12",,1885,24,,,,
,back,lat pull down,4,"40,45,50,55","15,13,12,10",,4670,67,,,,
,shoulders,side laterals,4,"5,7.5,10,10","15,12,10,10",,730,11,,,,
